helyseg;iranyitoszam
Aba;8127
Abaliget;7678
Abasár;3261
Abaújalpár;3882
Abaújkér;3882
Abaújlak;3815
Abaújszolnok;3809
Abaújszántó;3881
Abaújvár;3898
Abda;9151
Abod;3753
Abony;2740
Abádszalók;5241
Acsa;2683
Acsalag;9168
Acsád;9746
Adony;2457
Adorjánháza;8497
Adorjás;7841
Adács;3292
Adásztevel;8561
Aggtelek;3759
Agyagosszergény;9441
Ajak;4524
Ajka;8400
Ajka;8447
Ajka;8448
Ajka;8451
Aka;2862
Akasztó;6221
Alacska;3779
Alap;7011
Alattyán;5142
Albertirsa;2730
Alcsútdoboz;8087
Aldebrő;3353
Algyő;6750
Alibánfa;8921
Almamellék;7934
Almásfüzitő;2931
Almásháza;8935
Almáskamarás;5747
Almáskeresztúr;7932
Alsóberecki;3985
Alsóbogát;7443
Alsódobsza;3717
Alsógagy;3837
Alsómocsolád;7345
Alsónemesapáti;8924
Alsónyék;7148
Alsónána;7147
Alsónémedi;2351
Alsópetény;2617
Alsópáhok;8394
Alsórajk;8767
Alsóregmec;3989
Alsószenterzsébet;8973
Alsószentiván;7012
Alsószentmárton;7826
Alsószuha;3726
Alsószölnök;9983
Alsótelekes;3735
Alsótold;3069
Alsóvadász;3811
Alsózsolca;3571
Alsóörs;8226
Alsóújlak;9842
Ambrózfalva;6916
Anarcs;4546
Andocs;8675
Andornaktálya;3399
Andrásfa;9811
Annavölgy;2529
Apagy;4553
Apaj;2345
Aparhant;7186
Apc;3032
Apostag;6088
Apácatorna;8477
Apátfalva;6931
Apátistvánfalva;9982
Apátvarasd;7720
Aranyosapáti;4634
Aranyosgadány;7671
Arka;3885
Arló;3663
Arnót;3713
Aszaló;3841
Aszód;2170
Aszófő;8241
Atkár;3213
Attala;7252
Babarc;7757
Babarcszőlős;7814
Babosdöbréte;8983
Babócsa;7584
Babót;9351
Badacsonytomaj;8257
Badacsonytomaj;8258
Badacsonytomaj;8261
Badacsonytördemic;8263
Bag;2191
Bagamér;4286
Baglad;8977
Bagod;8992
Baj;2836
Baja;6500
Baja;6503
Bajna;2525
Bajánsenye;9944
Bajót;2533
Bak;8945
Bakháza;7585
Bakonszeg;4164
Bakonya;7675
Bakonybánk;2885
Bakonybél;8427
Bakonycsernye;8056
Bakonygyirót;8433
Bakonyjákó;8581
Bakonykoppány;8571
Bakonykúti;8046
Bakonynána;8422
Bakonyoszlop;8418
Bakonypéterd;9088
Bakonypölöske;8457
Bakonyszentiván;8557
Bakonyszentkirály;8430
Bakonyszentlászló;8431
Bakonyszombathely;2884
Bakonyszücs;8572
Bakonyság;8557
Bakonysárkány;2861
Bakonytamási;8555
Baks;6768
Baksa;7834
Baktakék;3836
Baktalórántháza;4561
Baktüttös;8946
Bakóca;7393
Balajt;3780
Balassagyarmat;2660
Balaton;3347
Balatonakali;8243
Balatonakarattya;8172
Balatonalmádi;8220
Balatonberény;8649
Balatonboglár;8630
Balatonboglár;8691
Balatoncsicsó;8272
Balatonederics;8312
Balatonendréd;8613
Balatonfenyves;8646
Balatonföldvár;8623
Balatonfüred;8230
Balatonfőkajár;8164
Balatonfűzfő;8175
Balatonfűzfő;8184
Balatongyörök;8313
Balatonhenye;8275
Balatonkenese;8174
Balatonkeresztúr;8648
Balatonlelle;8638
Balatonmagyaród;8753
Balatonmáriafürdő;8647
Balatonrendes;8255
Balatonszabadi;8651
Balatonszemes;8636
Balatonszentgyörgy;8710
Balatonszepezd;8252
Balatonszárszó;8624
Balatonszőlős;8233
Balatonudvari;8242
Balatonvilágos;8171
Balatonújlak;8712
Balatonőszöd;8637
Balinka;8054
Balinka;8055
Balkány;4233
Ballószög;6035
Balmazújváros;4060
Balogunyom;9771
Balotaszállás;6412
Balsa;4468
Balástya;6764
Bana;2944
Barabás;4937
Baracs;2426
Baracs;2427
Baracska;2471
Baranyahídvég;7841
Baranyajenő;7384
Baranyaszentgyörgy;7383
Barbacs;9169
Barcs;7557
Barcs;7570
Barlahida;8948
Barnag;8291
Basal;7923
Baskó;3881
Battonya;5830
Batyk;8797
Baté;7258
Bazsi;8352
Becsehely;8866
Becske;2693
Becskeháza;3768
Becsvölgye;8985
Bedegkér;8666
Bedő;4128
Bejcgyertyános;9683
Bekecs;3903
Bekölce;3343
Belecska;7061
Beled;9343
Beleg;7543
Belezna;8855
Beloiannisz;2455
Belsősárd;8978
Belvárdgyula;7747
Benk;4643
Bercel;2687
Beregdaróc;4934
Beregsurány;4933
Berekböszörmény;4116
Berekfürdő;5309
Beremend;7827
Berente;3704
Beret;3834
Berettyóújfalu;4100
Berhida;8181
Berhida;8182
Berkenye;2641
Berkesd;7664
Berkesz;4521
Bernecebaráti;2639
Berzence;7516
Berzék;3575
Besence;7838
Besenyszög;5071
Besenyőd;4557
Besenyőtelek;3373
Besnyő;2456
Beszterec;4488
Bezedek;7782
Bezenye;9223
Bezeréd;8934
Bezi;9162
Biatorbágy;2051
Bicske;2060
Bicsérd;7671
Bihardancsháza;4175
Biharkeresztes;4110
Biharnagybajom;4172
Bihartorda;4174
Biharugra;5538
Bikal;7346
Bikács;7043
Biri;4235
Birján;7747
Bisse;7811
Boba;9542
Bocfölde;8943
Boconád;3368
Bocska;8776
Bocskaikert;4241
Boda;7672
Bodajk;8053
Bodmér;8080
Bodolyabér;7394
Bodonhely;9134
Bodony;3243
Bodorfa;8471
Bodrog;7439
Bodroghalom;3987
Bodrogkeresztúr;3916
Bodrogkisfalud;3917
Bodrogolaszi;3943
Bogdása;7966
Bogyiszló;7132
Bogyoszló;9324
Bogács;3412
Bogád;7742
Bogádmindszent;7836
Bojt;4114
Bokod;2855
Bokor;3066
